model,auto_debugging,bbq_lite_json,code_line_description,conceptual_combinations,conlang_translation,emoji_movie,formal_fallacies_syllogisms_negation,hindu_knowledge,known_unknowns,language_identification,linguistics_puzzles,logic_grid_puzzle,logical_deduction,misconceptions_russian,novel_concepts,operators,parsinlu_reading_comprehension,play_dialog_same_or_different,repeat_copy_logic,strange_stories,strategyqa,symbol_interpretation,vitaminc_fact_verification,winowhy
BIG-G T=0 125m,0.0,0.875,0.13333333333333333,0.375,24.15873015873016,0.27,0.51953125,0.3142857142857143,0.5217391304347826,0.115234375,0.0,0.317,0.2316715542521994,0.3469387755102041,0.125,0.0761904761904762,0.0,0.51953125,0.0,0.39622641509433965,0.494140625,0.19696969696969696,0.4072265625,0.552734375
BIG-G T=0 128b,0.0,0.7321428571428571,0.2833333333333333,0.25,70.0,0.35,0.5068359375,0.6057142857142858,0.4782608695652174,0.115234375,0.0,0.312,0.3225806451612903,0.30612244897959184,0.4375,0.2523809523809524,0.0,0.5341796875,0.125,0.7169811320754716,0.6083984375,0.18686868686868688,0.134765625,0.58203125
BIG-G T=0 16m,0.0,0.4107142857142857,0.2,0.375,14.523809523809526,0.24,0.513671875,0.22285714285714286,0.5217391304347826,0.1064453125,0.0,0.308,0.20234604105571846,0.2653061224489796,0.0625,0.09047619047619047,0.0,0.5029296875,0.0,0.39622641509433965,0.5,0.18181818181818182,0.3779296875,0.55078125
BIG-G T=0 1b,0.0,0.7321428571428571,0.15,0.1875,31.055555555555557,0.14,0.501953125,0.26857142857142857,0.5,0.091796875,0.0,0.303,0.18181818181818182,0.2653061224489796,0.21875,0.10476190476190476,0.0,0.4365234375,0.0,0.37735849056603776,0.4931640625,0.20707070707070707,0.345703125,0.5625
BIG-G T=0 244m,0.0,1.0,0.1,0.5,24.214285714285715,0.19,0.515625,0.25142857142857145,0.391304347826087,0.0927734375,0.0,0.317,0.1935483870967742,0.3469387755102041,0.125,0.09047619047619047,0.0,0.4931640625,0.0,0.37735849056603776,0.4931640625,0.21717171717171718,0.3349609375,0.5625
BIG-G T=0 27b,0.0,0.9285714285714286,0.2833333333333333,0.1875,38.226190476190474,0.25,0.5166015625,0.26285714285714284,0.3695652173913043,0.115234375,0.0,0.299,0.21994134897360704,0.2857142857142857,0.25,0.16666666666666666,0.0,0.60546875,0.03125,0.33962264150943394,0.5380859375,0.22727272727272727,0.28125,0.53515625
BIG-G T=0 2b,0.0,0.8928571428571429,0.21666666666666667,0.1875,34.32936507936508,0.2,0.51171875,0.24571428571428572,0.41304347826086957,0.1005859375,0.0,0.317,0.18475073313782991,0.2653061224489796,0.1875,0.12380952380952381,0.0,0.576171875,0.0,0.37735849056603776,0.51171875,0.2878787878787879,0.42578125,0.5625
BIG-G T=0 2m,0.0,0.21428571428571427,0.03333333333333333,0.375,0.0,0.33,0.501953125,0.24571428571428572,0.5,0.095703125,0.0,0.287,0.21407624633431085,0.2653061224489796,0.0,0.01904761904761905,0.0,0.5341796875,0.0,0.4716981132075472,0.470703125,0.21212121212121213,0.3095703125,0.4794921875
BIG-G T=0 422m,0.0,0.9285714285714286,0.13333333333333333,0.375,26.215728715728716,0.2,0.4990234375,0.2742857142857143,0.43478260869565216,0.1123046875,0.0,0.314,0.17888563049853373,0.30612244897959184,0.1875,0.1,0.0,0.5048828125,0.0,0.41509433962264153,0.4755859375,0.18686868686868688,0.482421875,0.4931640625
BIG-G T=0 4b,0.0,0.8392857142857143,0.16666666666666666,0.125,35.54545454545454,0.22,0.51171875,0.2342857142857143,0.45652173913043476,0.08984375,0.0,0.319,0.20234604105571846,0.2857142857142857,0.25,0.1380952380952381,0.0,0.4345703125,0.0,0.3018867924528302,0.5087890625,0.2828282828282828,0.4208984375,0.5546875
